id,timestamp,waterLevel,temperature,humidity,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime
1,2017-11-20 13:35:02.482842,4,12,13,2017-11-21T10:46:24.9212433Z,0,2017-11-20T13:35:02.4030000Z
2,2017-11-20 13:35:02.550208,25,15,12,2017-11-21T10:46:25.3275878Z,1,2017-11-20T13:35:02.1390000Z
3,2017-11-20 13:35:02.625346,115,20,18,2017-11-21T10:46:25.7031153Z,2,2017-11-20T13:35:02.0690000Z
4,2017-11-20 13:35:02.696008,207,33,29,2017-11-21T10:46:26.0462218Z,3,2017-11-20T13:35:02.4550000Z
5,2017-11-20 13:35:02.766053,4,16,20,2017-11-21T10:46:24.9212433Z,0,2017-11-20T13:35:02.6840000Z
6,2017-11-20 13:35:02.838460,6,11,12,2017-11-21T10:46:25.3275878Z,1,2017-11-20T13:35:02.4200000Z
7,2017-11-20 13:35:02.921356,4,17,16,2017-11-21T10:46:25.7031153Z,2,2017-11-20T13:35:02.3660000Z
8,2017-11-20 13:35:02.995888,30,16,18,2017-11-21T10:46:26.0462218Z,3,2017-11-20T13:35:02.7520000Z
9,2017-11-20 13:35:03.066873,81,34,29,2017-11-21T10:46:24.9212433Z,0,2017-11-20T13:35:02.9960000Z
10,2017-11-20 13:35:03.140679,49,13,12,2017-11-21T10:46:25.3275878Z,1,2017-11-20T13:35:02.7170000Z
1,2017-11-20 13:35:08.240316,4,10,9,2017-11-21T10:46:25.7031153Z,2,2017-11-20T13:35:07.6850000Z
2,2017-11-20 13:35:08.322199,29,18,19,2017-11-21T10:46:26.0462218Z,3,2017-11-20T13:35:08.0710000Z
3,2017-11-20 13:35:08.394794,102,20,17,2017-11-21T10:46:24.9212433Z,0,2017-11-20T13:35:08.3270000Z
4,2017-11-20 13:35:08.458601,206,35,33,2017-11-21T10:46:25.3275878Z,1,2017-11-20T13:35:08.0460000Z
5,2017-11-20 13:35:08.526290,4,13,14,2017-11-21T10:46:25.7031153Z,2,2017-11-20T13:35:07.9680000Z
6,2017-11-20 13:35:08.601726,7,13,15,2017-11-21T10:46:26.0618467Z,3,2017-11-20T13:35:08.3520000Z
7,2017-11-20 13:35:08.668269,4,14,16,2017-11-21T10:46:24.9212433Z,0,2017-11-20T13:35:08.5920000Z
8,2017-11-20 13:35:08.741909,27,19,17,2017-11-21T10:46:25.3275878Z,1,2017-11-20T13:35:08.3270000Z
9,2017-11-20 13:35:08.817638,68,28,28,2017-11-21T10:46:25.7031153Z,2,2017-11-20T13:35:08.2650000Z
10,2017-11-20 13:35:08.882479,56,12,13,2017-11-21T10:46:26.0618467Z,3,2017-11-20T13:35:08.6340000Z
