id,timestamp,waterLevel,temperature,humidity,EventProcessedUtcTime,PartitionId,EventEnqueuedUtcTime
6,2017-11-20 11:50:17.963020,72,17,17,2017-11-20T12:26:27.9071089Z,0,2017-11-20T11:50:17.8950000Z
7,2017-11-20 11:50:18.041326,9,24,21,2017-11-20T12:26:26.1603324Z,1,2017-11-20T11:50:17.6960000Z
8,2017-11-20 11:50:18.119443,21,12,11,2017-11-20T12:26:26.2664617Z,2,2017-11-20T11:50:17.3280000Z
9,2017-11-20 11:50:18.197427,207,16,19,2017-11-20T12:26:26.3760395Z,3,2017-11-20T11:50:17.9770000Z
10,2017-11-20 11:50:18.275732,41,30,34,2017-11-20T12:26:27.9071089Z,0,2017-11-20T11:50:18.2080000Z
1,2017-11-20 12:24:35.963099,11,17,24,2017-11-20T12:26:26.2664617Z,2,2017-11-20T12:24:35.3880000Z
2,2017-11-20 12:24:36.287879,23,23,26,2017-11-20T12:26:26.3760395Z,3,2017-11-20T12:24:36.0520000Z
3,2017-11-20 12:24:36.365367,27,24,15,2017-11-20T12:26:27.9071089Z,0,2017-11-20T12:24:36.2930000Z
4,2017-11-20 12:24:36.474249,38,16,9,2017-11-20T12:26:26.1603324Z,1,2017-11-20T12:24:36.0990000Z
5,2017-11-20 12:24:36.558596,48,23,29,2017-11-20T12:26:26.2664617Z,2,2017-11-20T12:24:35.7170000Z
6,2017-11-20 12:24:36.647059,51,17,24,2017-11-20T12:26:26.3760395Z,3,2017-11-20T12:24:36.4110000Z
7,2017-11-20 12:24:36.720049,68,18,12,2017-11-20T12:26:27.9383579Z,0,2017-11-20T12:24:36.6360000Z
8,2017-11-20 12:24:36.785983,80,22,18,2017-11-20T12:26:26.1603324Z,1,2017-11-20T12:24:36.3960000Z
9,2017-11-20 12:24:36.875108,91,21,20,2017-11-20T12:26:26.2664617Z,2,2017-11-20T12:24:36.0450000Z
10,2017-11-20 12:24:36.946537,97,19,9,2017-11-20T12:26:26.3760395Z,3,2017-11-20T12:24:36.7080000Z
1,2017-11-20 12:24:42.026017,10,14,13,2017-11-20T12:26:27.9383579Z,0,2017-11-20T12:24:41.9370000Z
2,2017-11-20 12:24:42.103088,22,27,30,2017-11-20T12:26:26.1603324Z,1,2017-11-20T12:24:41.7320000Z
3,2017-11-20 12:24:42.220977,26,25,26,2017-11-20T12:26:26.2664617Z,2,2017-11-20T12:24:41.3890000Z
4,2017-11-20 12:24:42.293246,35,14,15,2017-11-20T12:26:26.3760395Z,3,2017-11-20T12:24:42.0520000Z
5,2017-11-20 12:24:42.367227,42,24,20,2017-11-20T12:26:27.9383579Z,0,2017-11-20T12:24:42.2820000Z
6,2017-11-20 12:24:42.454401,59,19,22,2017-11-20T12:26:26.1603324Z,1,2017-11-20T12:24:42.0600000Z
7,2017-11-20 12:24:42.624286,61,19,18,2017-11-20T12:26:26.2664617Z,2,2017-11-20T12:24:41.7950000Z
8,2017-11-20 12:24:42.691794,66,19,17,2017-11-20T12:26:26.3760395Z,3,2017-11-20T12:24:42.4430000Z
9,2017-11-20 12:24:42.771141,74,17,21,2017-11-20T12:26:27.9383579Z,0,2017-11-20T12:24:42.6890000Z
10,2017-11-20 12:24:42.839327,85,21,21,2017-11-20T12:26:26.1603324Z,1,2017-11-20T12:24:42.4510000Z
1,2017-11-20 12:24:47.929098,12,16,14,2017-11-20T12:26:26.2664617Z,2,2017-11-20T12:24:47.0940000Z
2,2017-11-20 12:24:48.004714,20,29,31,2017-11-20T12:26:26.3760395Z,3,2017-11-20T12:24:47.7640000Z
3,2017-11-20 12:24:48.073415,26,27,27,2017-11-20T12:26:27.9383579Z,0,2017-11-20T12:24:47.9900000Z
4,2017-11-20 12:24:48.143949,37,16,18,2017-11-20T12:26:26.1603324Z,1,2017-11-20T12:24:47.7660000Z
5,2017-11-20 12:24:48.211968,41,20,19,2017-11-20T12:26:26.2664617Z,2,2017-11-20T12:24:47.3750000Z
6,2017-11-20 12:24:48.285019,49,19,15,2017-11-20T12:26:26.3760395Z,3,2017-11-20T12:24:48.0450000Z
7,2017-11-20 12:24:48.365505,64,17,14,2017-11-20T12:26:27.9383579Z,0,2017-11-20T12:24:48.2870000Z
8,2017-11-20 12:24:48.458849,68,18,20,2017-11-20T12:26:26.1603324Z,1,2017-11-20T12:24:48.0790000Z
9,2017-11-20 12:24:48.543955,86,20,23,2017-11-20T12:26:26.2664617Z,2,2017-11-20T12:24:47.7030000Z
10,2017-11-20 12:24:48.617811,99,22,20,2017-11-20T12:26:26.3760395Z,3,2017-11-20T12:24:48.3740000Z
1,2017-11-20 12:24:53.690312,11,14,15,2017-11-20T12:26:27.9383579Z,0,2017-11-20T12:24:53.6000000Z
2,2017-11-20 12:24:53.764511,20,28,23,2017-11-20T12:26:26.1603324Z,1,2017-11-20T12:24:53.3830000Z
3,2017-11-20 12:24:53.921627,25,30,27,2017-11-20T12:26:26.2664617Z,2,2017-11-20T12:24:53.0800000Z
4,2017-11-20 12:24:53.993482,30,15,15,2017-11-20T12:26:26.3760395Z,3,2017-11-20T12:24:53.7490000Z
5,2017-11-20 12:24:54.060215,39,22,22,2017-11-20T12:26:27.9383579Z,0,2017-11-20T12:24:53.9750000Z
6,2017-11-20 12:24:54.135226,40,20,20,2017-11-20T12:26:26.1603324Z,1,2017-11-20T12:24:53.7430000Z
7,2017-11-20 12:24:54.284169,57,20,22,2017-11-20T12:26:26.2664617Z,2,2017-11-20T12:24:53.4550000Z
